% Model:              FEA.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jul 31 2022, 08:26
% Dimension:          2
% Nodes:              10000
% Expressions:        1
% Description:        Current density, phi component
% Length unit:        m
% r                       z                        mf.Jphi (A/m^2) @ freq=500, Switch 1=Stainless Steel
0.0069696969696969695     -0.00593939393939394     -576.3625903126434-184.56718884043866i
0.007272727272727273      -0.00593939393939394     -580.3412634150175-187.75668649219304i
0.007575757575757576      -0.00593939393939394     -583.2563482979937-190.78851170484774i
0.00787878787878788       -0.00593939393939394     -585.3544558558876-193.7764114099928i
0.008181818181818182      -0.00593939393939394     -585.8008833394966-196.78468608445863i
0.008484848484848484      -0.00593939393939394     -584.9312040418521-199.52796167153022i
0.008787878787878787      -0.00593939393939394     -583.397029160749-202.29017085673158i
0.00909090909090909       -0.00593939393939394     -580.9838437416953-205.3340294678969i
0.009393939393939394      -0.00593939393939394     -577.3750404212034-208.1812803172836i
0.009696969696969697      -0.00593939393939394     -573.2573894546765-211.0998919574482i
0.01                      -0.00593939393939394     -568.640732890948-214.2408677183445i
0.010303030303030303      -0.00593939393939394     -563.2540582291156-217.61073276129565i
0.010606060606060607      -0.00593939393939394     -557.4705896589841-220.94833028761929i
0.01090909090909091       -0.00593939393939394     -551.3205947533154-224.395610159516i
0.011212121212121211      -0.00593939393939394     -544.8912630465196-228.40314430899033i
0.011515151515151515      -0.00593939393939394     -538.1745162978762-232.3067949077134i
0.011818181818181818      -0.00593939393939394     -531.2112318043447-236.34490705280245i
0.012121212121212121      -0.00593939393939394     -524.1584602478528-240.89105614954948i
0.012424242424242424      -0.00593939393939394     -517.0488472650633-245.41924759045648i
0.012727272727272728      -0.00593939393939394     -509.78757923604974-250.09620866839748i
0.013030303030303031      -0.00593939393939394     -502.4578203323258-255.17837746928998i
0.013333333333333332      -0.00593939393939394     -495.3302869347001-260.364607010962i
0.013636363636363636      -0.00593939393939394     -488.11794050845697-265.67655880293245i
0.013939393939393939      -0.00593939393939394     -480.8250782513008-271.14500142933053i
0.014242424242424242      -0.00593939393939394     -473.871827425486-277.12273461804136i
0.014545454545454545      -0.00593939393939394     -466.9241259563535-283.04227964519663i
0.014848484848484849      -0.00593939393939394     -459.9468126315312-289.1230700960709i
0.015151515151515152      -0.00593939393939394     -453.22029671626603-295.63037458548393i
0.015454545454545455      -0.00593939393939394     -446.6586074225401-302.12632000119515i
0.01575757575757576       -0.00593939393939394     -440.1021631608417-308.78820174914165i
0.01606060606060606       -0.00593939393939394     -433.6945115724256-315.82274191325376i
0.016363636363636365      -0.00593939393939394     -427.5767993263059-322.8719804683158i
0.016666666666666666      -0.00593939393939394     -421.48712283897186-330.09395840288005i
0.016969696969696968      -0.00593939393939394     -415.43434533522696-337.50927227080393i
0.017272727272727273      -0.00593939393939394     -409.7982021853772-345.25425721304384i
0.017575757575757574      -0.00593939393939394     -404.18472819579557-353.0315049027718i
0.01787878787878788       -0.00593939393939394     -398.61336196338766-360.99208653003706i
0.01818181818181818       -0.00593939393939394     -393.35426490223375-369.29376576793794i
0.018484848484848486      -0.00593939393939394     -388.2060383634423-377.6410022680721i
0.018787878787878787      -0.00593939393939394     -383.1078497975569-386.1874505026835i
0.019090909090909092      -0.00593939393939394     -378.2235146385379-395.0669159286958i
0.019393939393939394      -0.00593939393939394     -373.51973835703467-404.0213012467342i
0.019696969696969695      -0.00593939393939394     -368.86960071010316-413.1976897137255i
0.02                      -0.00593939393939394     -364.32363958357854-422.65530970122677i
0.020303030303030302      -0.00593939393939394     -360.0719922436339-432.341453239479i
0.020606060606060607      -0.00593939393939394     -355.8422687086954-442.2205585547735i
0.02090909090909091       -0.00593939393939394     -351.66654754406534-452.35349117789076i
0.021212121212121213      -0.00593939393939394     -347.79771535319884-462.85721648493853i
0.021515151515151515      -0.00593939393939394     -343.96010646053134-473.5483150707919i
0.02181818181818182       -0.00593939393939394     -340.1740268670645-484.53712301881257i
0.02212121212121212       -0.00593939393939394     -336.62363697659697-495.9361150700546i
0.022424242424242423      -0.00593939393939394     -333.14690211442803-507.5975399323292i
0.022727272727272728      -0.00593939393939394     -329.71609228959215-519.6171492559859i
0.02303030303030303       -0.00593939393939394     -326.449878537957-532.0843018206866i
0.023333333333333334      -0.00593939393939394     -323.3040440164957-544.9533748496951i
0.023636363636363636      -0.00593939393939394     -320.1819585173359-558.2540931151002i
0.02393939393939394       -0.00593939393939394     -317.09610312698595-571.9971972206889i
0.024242424242424242      -0.00593939393939394     -314.28514582190354-586.4387255002093i
0.024545454545454544      -0.00593939393939394     -311.39518074922336-601.3804305786477i
0.02484848484848485       -0.00593939393939394     -308.52621634244474-616.8843767050649i
0.02515151515151515       -0.00593939393939394     -305.85717269006216-633.2344665137797i
0.025454545454545455      -0.00593939393939394     -303.06002360786414-650.336273454316i
0.025757575757575757      -0.00593939393939394     -300.2621883571295-668.1786909375919i
