% Model:              FEA.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jul 31 2022, 07:55
% Dimension:          2
% Nodes:              10000
% Expressions:        1
% Description:        Current density, phi component
% Length unit:        m
% r                       z                        mf.Jphi (A/m^2) @ freq=20000, Switch 1=Titanium beta-21S
0.0012121212121212121     -0.005878787878787879    -16558.505414003415-6070.26621401121i
0.0015151515151515152     -0.005878787878787879    -20525.876529622277-7482.164392350141i
0.0018181818181818182     -0.005878787878787879    -24386.792046368322-8823.106124703496i
0.002121212121212121      -0.005878787878787879    -28118.55122077382-10041.383049389513i
0.0024242424242424242     -0.005878787878787879    -31698.159433910365-11185.261350187064i
0.0027272727272727275     -0.005878787878787879    -35114.81360910357-12222.794025593419i
0.0030303030303030303     -0.005878787878787879    -38359.76088545717-13130.741499424836i
0.003333333333333333      -0.005878787878787879    -41398.70775709174-13904.797033139528i
0.0036363636363636364     -0.005878787878787879    -44236.32283391062-14559.349226539669i
0.00393939393939394       -0.005878787878787879    -46870.33458745698-15084.697480475847i
0.004242424242424242      -0.005878787878787879    -49266.33838333087-15441.186867981884i
0.004545454545454545      -0.005878787878787879    -51438.26995382781-15676.650917071607i
0.0048484848484848485     -0.005878787878787879    -53387.25542176456-15782.006058772751i
0.005151515151515152      -0.005878787878787879    -55095.32319887046-15735.396217673904i
0.005454545454545455      -0.005878787878787879    -56567.03952998682-15562.288086054525i
0.005757575757575757      -0.005878787878787879    -57815.95441435831-15273.139592411999i
0.006060606060606061      -0.005878787878787879    -58837.565399110725-14864.7256047211i
0.006363636363636364      -0.005878787878787879    -59624.958518493026-14335.885337180256i
0.006666666666666666      -0.005878787878787879    -60206.7015974431-13717.411603393897i
0.0069696969696969695     -0.005878787878787879    -60583.4311054885-13011.815524861662i
0.007272727272727273      -0.005878787878787879    -60749.79127878847-12219.201009026348i
0.007575757575757576      -0.005878787878787879    -60735.10379546415-11361.473447078166i
0.00787878787878788       -0.005878787878787879    -60544.80940926113-10447.66113019195i
0.008181818181818182      -0.005878787878787879    -60181.891999634456-9492.193068324848i
0.008484848484848484      -0.005878787878787879    -59666.488904107864-8494.351032957231i
0.008787878787878787      -0.005878787878787879    -59012.300745333974-7473.907374496524i
0.00909090909090909       -0.005878787878787879    -58224.31594832497-6447.210457397983i
0.009393939393939394      -0.005878787878787879    -57316.10781186617-5403.431270820262i
0.009696969696969697      -0.005878787878787879    -56307.66700821395-4365.8541915256055i
0.01                      -0.005878787878787879    -55201.64186031304-3342.4296927230444i
0.010303030303030303      -0.005878787878787879    -54012.04224666055-2339.2656149899i
0.010606060606060607      -0.005878787878787879    -52755.87612339805-1356.24504255343i
0.01090909090909091       -0.005878787878787879    -51435.711763564694-400.80342920257004i
0.011212121212121211      -0.005878787878787879    -50065.892942177255+504.9739136982384i
0.011515151515151515      -0.005878787878787879    -48658.30171370429+1382.7587190201857i
0.011818181818181818      -0.005878787878787879    -47218.05379830853+2219.650872192546i
0.012121212121212121      -0.005878787878787879    -45753.25236247423+2999.6525150377233i
0.012424242424242424      -0.005878787878787879    -44276.13541614211+3742.0129037823194i
0.012727272727272728      -0.005878787878787879    -42791.60558012795+4437.378794962768i
0.013030303030303031      -0.005878787878787879    -41302.88968290748+5077.420437392551i
0.013333333333333332      -0.005878787878787879    -39822.65195941834+5668.5660898659i
0.013636363636363636      -0.005878787878787879    -38353.420353934525+6215.408796421754i
0.013939393939393939      -0.005878787878787879    -36896.06462698309+6713.641800372408i
0.014242424242424242      -0.005878787878787879    -35462.270904273486+7154.035061238763i
0.014545454545454545      -0.005878787878787879    -34052.582768726854+7557.144823685709i
0.014848484848484849      -0.005878787878787879    -32667.72848152117+7916.097377471002i
0.015151515151515152      -0.005878787878787879    -31314.13451059984+8221.745335526362i
0.015454545454545455      -0.005878787878787879    -29994.67978053276+8493.711014537981i
0.01575757575757576       -0.005878787878787879    -28708.459992865028+8727.080061294138i
0.01606060606060606       -0.005878787878787879    -27458.1040414727+8915.670409606086i
0.016363636363636365      -0.005878787878787879    -26248.30173538217+9072.721305533412i
0.016666666666666666      -0.005878787878787879    -25076.185933089822+9198.469890529326i
0.016969696969696968      -0.005878787878787879    -23942.326078816805+9290.417263261674i
0.017272727272727273      -0.005878787878787879    -22852.190087265197+9349.325981916865i
0.017575757575757574      -0.005878787878787879    -21801.527643701364+9386.283205197167i
0.01787878787878788       -0.005878787878787879    -20790.276730934722+9397.757679650023i
0.01818181818181818       -0.005878787878787879    -19822.129842094408+9379.665513245613i
0.018484848484848486      -0.005878787878787879    -18894.179235492204+9345.937087171884i
0.018787878787878787      -0.005878787878787879    -18005.2191092169+9292.795913241758i
0.019090909090909092      -0.005878787878787879    -17157.08114853525+9216.472143346296i
0.019393939393939394      -0.005878787878787879    -16348.75029176357+9128.419386309106i
0.019696969696969695      -0.005878787878787879    -15577.622827781186+9026.172812977775i
0.02                      -0.005878787878787879    -14844.239242912336+8908.102275590307i
