% Model,disk.mph
% Version,COMSOL 5.1.0.145
% Date,"Jun 2 2022, 14:12"
% Dimension,2
% Nodes,2822
% Expressions,2
% Description,"Magnetic flux density, z component, Magnetic flux density, r component"
% Length unit,m
% r,z,mf.Bz (T) @ freq=5000,mf.Br (T) @ freq=5000
0.03,-0.0055999999999999835,5.878135451222454E-6-3.650529922839857E-7i,1.7991903093736753E-6+3.44278256270067E-7i
0.03009258298866167,-0.0055418891153920236,5.8276063110658336E-6-4.795857392903508E-7i,1.549769040370689E-6+3.5684888212667626E-7i
0.030094582980242156,-0.005636865912417452,5.661890121376518E-6-4.307221630628067E-7i,1.6858165790043124E-6+4.3088524836768566E-7i
0.030103513303705438,-0.005948669126209824,4.903600311717515E-6-4.755174459187819E-7i,2.069401403045001E-6+7.330055853201711E-7i
0.03,-0.005399999999999985,6.1730735237523575E-6-5.337964315090969E-7i,1.474321020141696E-6+1.96397351272392E-7i
0.030088862324261938,-0.005442244918237277,5.98388211798286E-6-5.458871399118292E-7i,1.411682280810638E-6+2.9346796169471473E-7i
0.030083760163808898,-0.005347012547839379,6.119950457794106E-6-6.187232692248482E-7i,1.285753771076336E-6+2.4627711324796446E-7i
0.029523034410794985,-0.006,3.243715991775461E-6-1.4326621964653706E-6i,3.59858615865368E-6+9.087132982967131E-7i
0.029620131604824563,-0.006207586595993718,3.315061584674969E-6-1.147273711604528E-6i,2.960056788960237E-6+7.713791489098989E-7i
0.03,-0.0025999999999999942,1.0722155219072618E-5-2.1271330033778854E-6i,-1.143412198141531E-6+2.9424000498748864E-6i
0.03,-0.0026999999999999936,1.0411107546150858E-5-2.1806456954118225E-6i,-9.718009042580965E-7+2.734856852261534E-6i
0.030088785389042316,-0.002644078012340925,1.0425014467636232E-5-1.9750256231735346E-6i,-1.330266346358035E-6+2.7916206771083648E-6i
0.03,-0.0027999999999999935,1.011352458508498E-5-2.217790042597544E-6i,-8.208357628778701E-7+2.5333344068298297E-6i
0.030087176104798215,-0.002738872996187559,1.0155625888725859E-5-2.0267984333967027E-6i,-1.161349524084082E-6+2.612097435083883E-6i
0.03,-0.0028999999999999933,9.830417529334897E-6-2.239884637827104E-6i,-6.880529015823748E-7+2.338744307117223E-6i
